program runtime size blocksize iteration threads gflops model strat visits_per_task steals_per_task foo
dpotrf_taskdep simulation 8192 256 1 80 829.567 IdchireAffinityAVG RandLoc 619.303 8.13904 0
dpotrf_taskdep simulation 8192 256 1 81 854.898 IdchireAffinityAVG RandLoc 640.269 8.30214 0
dpotrf_taskdep simulation 8192 256 1 84 875.418 IdchireAffinityAVG RandLoc 719.998 8.97527 0
dpotrf_taskdep simulation 8192 256 1 86 905.285 IdchireAffinityAVG RandLoc 747.383 9.08473 0
dpotrf_taskdep simulation 8192 256 1 85 885.48 IdchireAffinityAVG RandLoc 741.186 9.1123 0
dpotrf_taskdep simulation 8192 256 1 87 867.287 IdchireAffinityAVG RandLoc 816.479 9.76838 0
dpotrf_taskdep simulation 8192 256 1 88 875.021 IdchireAffinityAVG RandLoc 815.174 9.65608 0
dpotrf_taskdep simulation 8192 256 1 91 918.507 IdchireAffinityAVG RandLoc 900.648 10.2814 0
dpotrf_taskdep simulation 8192 256 1 92 907.887 IdchireAffinityAVG RandLoc 923.261 10.4293 0
dpotrf_taskdep simulation 8192 256 1 90 898.455 IdchireAffinityAVG RandLoc 865.951 10.009 0
dpotrf_taskdep simulation 8192 256 1 89 886.15 IdchireAffinityAVG RandLoc 896.428 10.4442 0
dpotrf_taskdep simulation 8192 256 1 96 959.65 IdchireAffinityAVG RandLoc 1049.42 11.3133 0
dpotrf_taskdep simulation 8192 256 1 93 923.117 IdchireAffinityAVG RandLoc 967.496 10.7828 0
dpotrf_taskdep simulation 8192 256 1 95 910.156 IdchireAffinityAVG RandLoc 1077.53 11.7182 0
dpotrf_taskdep simulation 8192 256 1 94 929.125 IdchireAffinityAVG RandLoc 1072.95 11.7914 0
dpotrf_taskdep simulation 8192 256 1 98 959.965 IdchireAffinityAVG RandLoc 1140.81 12.0165 0
dpotrf_taskdep simulation 8192 256 1 97 961.32 IdchireAffinityAVG RandLoc 1117.97 11.9004 0
dpotrf_taskdep simulation 8192 256 1 99 942.547 IdchireAffinityAVG RandLoc 1198.45 12.4865 0
dpotrf_taskdep simulation 8192 256 1 101 985.783 IdchireAffinityAVG RandLoc 1222.95 12.4803 0
dpotrf_taskdep simulation 8192 256 1 100 949.83 IdchireAffinityAVG RandLoc 1276.12 13.1263 0
dpotrf_taskdep simulation 8192 256 1 103 996.935 IdchireAffinityAVG RandLoc 1290.94 12.9101 0
dpotrf_taskdep simulation 8192 256 1 102 985.736 IdchireAffinityAVG RandLoc 1283.76 12.9646 0
dpotrf_taskdep simulation 8192 256 1 104 958.591 IdchireAffinityAVG RandLoc 1414.55 13.9661 0
dpotrf_taskdep simulation 8192 256 1 106 995.248 IdchireAffinityAVG RandLoc 1462.66 14.1604 0
