program runtime size blocksize iteration threads gflops model strat foo
dpotrf_taskdep simulation 32768 512 1 57 685.34 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 57 937.29 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 58 695.075 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 58 947.392 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 59 705.55 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 59 966.793 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 60 721.626 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 60 986.239 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 61 727.574 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 61 996.842 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 62 742.972 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 62 1012.56 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 63 752.088 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 63 1029.96 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 64 766.889 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 64 1042.84 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 65 778.008 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 65 1061.39 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 66 789.509 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 66 1070.78 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 67 796.527 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 67 1092.5 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 68 808.69 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 68 1104.37 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 69 827.035 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 69 1123.7 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 70 831.697 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 70 1137.34 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 71 842.314 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 71 1156.28 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 72 852.944 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 72 1172.04 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 73 867.314 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 73 1184.33 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 74 882.618 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 74 1197.71 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 75 888.186 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 75 1213.07 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 76 899.564 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 76 1231.45 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 77 910.833 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 77 1238.67 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 78 924.137 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 78 1259.17 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 79 939.015 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 79 1275.89 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 80 942.892 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 80 1293.04 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 81 954.363 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 81 1303.16 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 82 968.823 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 82 1320.98 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 83 974.074 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 83 1333.34 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 84 987.881 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 84 1355.85 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 85 997.832 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 85 1354.74 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 86 1007.01 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 86 1382.41 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 87 1026.43 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 87 1393.44 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 88 1028.4 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 88 1411.92 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 89 1047.07 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 89 1421.49 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 90 1055.17 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 90 1433.58 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 91 1067.67 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 91 1454.4 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 92 1080.25 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 92 1469.78 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 93 1090.65 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 93 1485.26 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 94 1100.67 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 94 1496.03 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 95 1109.13 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 95 1514.71 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 96 1116.55 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 96 1525.06 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 97 1120.54 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 97 1551.58 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 98 1141.56 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 98 1557.48 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 99 1148.98 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 99 1563.96 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 100 1165.15 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 100 1590.31 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 101 1168.07 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 101 1609.99 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 102 1184.23 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 102 1603.78 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 103 1197.25 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 103 1618.27 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 104 1203.72 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 104 1643.02 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 105 1203.56 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 105 1645.99 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 106 1228.55 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 106 1671.37 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 107 1229.17 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 107 1692.7 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 108 1248.09 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 108 1684.81 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 109 1240.61 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 109 1703.68 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 110 1267.45 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 110 1730.2 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 111 1271.56 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 111 1736.18 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 112 1289.63 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 112 1757.83 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 113 1295.55 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 113 1768.29 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 114 1309.21 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 114 1773.2 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 115 1320.57 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 115 1790.19 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 116 1335.18 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 116 1818.59 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 117 1324.21 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 117 1817.74 IdchireMax RandLoc 0
