threads  kid  date(rdtsc)     duration  task_id
192        4    483443530      3891564  dgemm
192        3    483625994      4029412  dgemm
192       15    483612500      4123760  dgemm
192       11    484673504      3443528  dgemm
192        6    484985366      3419612  dgemm
192        1    484839990      3641752  dgemm
192       10    485028844      3633840  dgemm
192        2    485201458      3533884  dgemm
192       12    485522792      3495916  dgemm
192        9    485531736      3487260  dgemm
192        5    485589966      3545948  dgemm
192        7    485873262      3376992  dgemm
192        8    486440564      3439248  dgemm
192       14    486529988      3396792  dgemm
192       13    486356280      3620912  dgemm
192        4    487354202      3423792  dgemm
192        3    487661934      3451556  dgemm
192       15    487745724      3462128  dgemm
192       11    488123608      3607984  dgemm
192        1    488496702      3428524  dgemm
192        6    488417498      3643952  dgemm
192       10    488673972      3617504  dgemm
192        2    488742434      3569472  dgemm
192        9    489032852      3452444  dgemm
192       12    489031448      3498628  dgemm
192        5    489156458      3409708  dgemm
192       13    489996348      3824896  dgemm
192        8    489905768      3915544  dgemm
192       14    489936308      3885128  dgemm
192        4    490791054      3651684  dgemm
192        3    491121654      3431656  dgemm
192       15    491221816      3635640  dgemm
192        7    491783090      3407524  dgemm
192       11    491743716      3496696  dgemm
192        1    491934442      3618692  dgemm
192        6    492067226      3628028  dgemm
192        2    492328918      3476140  dgemm
192       10    492305620      3556940  dgemm
192        9    492494296      3424228  dgemm
192       12    492550888      3455848  dgemm
192        5    492571290      3605208  dgemm
192        8    493829512      3482868  dgemm
192       13    493829560      3641256  dgemm
192       14    493829460      3654752  dgemm
192        3    494557510      3446068  dgemm
192        4    494453878      3574144  dgemm
192       15    494866512      3666628  dgemm
192        7    495214342      3570008  dgemm
192       11    495251172      3608440  dgemm
192        1    495572530      3635608  dgemm
192        2    495823718      3440316  dgemm
192        6    495711958      3612128  dgemm
192       10    495872856      3456800  dgemm
192       12    496012724      3431292  dgemm
192        5    496186286      4084892  dgemm
192        8    497337800      3483688  dgemm
192       13    497477608      3618944  dgemm
192       14    497504852      3620012  dgemm
192        3    498012066      3553860  dgemm
192        4    498034822      3610344  dgemm
192        9    498179340      3622764  dgemm
192       15    498554740      3615572  dgemm
192        7    498793626      3412420  dgemm
192       11    498882748      3480928  dgemm
192        1    499215430      3445688  dgemm
192        2    499268706      3596060  dgemm
192       12    499450664      3431368  dgemm
192        6    499330286      4175644  dgemm
192       10    499350276      4192704  dgemm
192        5    500278690      3580796  dgemm
192        8    500831560      3480840  dgemm
192       13    501103036      3587512  dgemm
192       14    501128636      3618872  dgemm
192        4    501649590      3447568  dgemm
192        3    501584210      3550624  dgemm
192        9    501813072      3482044  dgemm
192        7    502213890      3412812  dgemm
192       15    502175084      3629756  dgemm
192       11    502372164      3628436  dgemm
192        1    502669226      3574024  dgemm
192        2    502871142      3422060  dgemm
192       10    503568980      3638700  dgemm
192        5    503867146      3734800  dgemm
192        6    503514326      4087660  dgemm
192        8    504319684      3504484  dgemm
192       13    504697508      3498088  dgemm
192       14    504751960      3574524  dgemm
192        3    505159722      3578952  dgemm
192        9    505304144      3640456  dgemm
192       12    505136376      4068112  dgemm
192        7    505636102      3615112  dgemm
192        4    505104050      4191016  dgemm
192       15    505823108      3645452  dgemm
192        1    506253042      3374004  dgemm
192       11    506016812      3635144  dgemm
192        2    506300730      3566508  dgemm
192       10    507219052      3578552  dgemm
192        5    507609970      3471892  dgemm
192        6    507611410      3610152  dgemm
192        8    507833108      3485892  dgemm
192       13    508200588      3652416  dgemm
192       14    508333128      3583344  dgemm
192        3    508744090      3477536  dgemm
192        9    508950868      3497564  dgemm
192        7    509259682      3457628  dgemm
192       12    509211168      3571948  dgemm
192        4    509303070      3558116  dgemm
192       15    509477708      3602128  dgemm
192        1    509639514      3455876  dgemm
192       11    509659072      3498600  dgemm
192        6    511228358      3433276  dgemm
192        5    511093978      3569452  dgemm
192       10    510809948      4080956  dgemm
192        8    511328220      3564412  dgemm
192       13    511862684      3502616  dgemm
192       14    511928412      3541548  dgemm
192        2    512158062      3467392  dgemm
192        3    512231142      3607392  dgemm
192        9    512462836      3633668  dgemm
192        7    512728430      3587588  dgemm
192       12    512797716      3631884  dgemm
192        4    512868266      3572696  dgemm
192       11    513168552      3607728  dgemm
192       15    513097264      4075448  dgemm
192        1    513108482      4145888  dgemm
192        5    514683054      3502888  dgemm
192        6    514683010      3650656  dgemm
192       10    514902344      3539152  dgemm
192        8    514900136      3576692  dgemm
192       13    515371588      3491548  dgemm
192       14    515479520      3472108  dgemm
192        2    515633886      3446748  dgemm
192        3    515846470      3621288  dgemm
192        9    516104708      3516880  dgemm
192        7    516321826      3457140  dgemm
192       11    516787952      3682180  dgemm
192       12    516437344      4190080  dgemm
192        4    516447810      4193640  dgemm
192       15    517181960      3528468  dgemm
192        1    517263314      3464320  dgemm
192        6    518339950      3579608  dgemm
192       13    518869792      3618308  dgemm
192       10    518449560      4038652  dgemm
192        8    518485836      4004508  dgemm
192       14    518959684      3531932  dgemm
192        2    519090022      3615580  dgemm
192        3    519474714      3459308  dgemm
192        9    519628516      3589392  dgemm
192        7    519783342      3558680  dgemm
192       11    520482916      3618852  dgemm
192       12    520633672      3492420  dgemm
192        4    520650526      3479540  dgemm
192        1    520733818      3574364  dgemm
192        5    520720718      4035464  dgemm
192       15    520717424      4154544  dgemm
192        6    521925382      3492924  dgemm
192       14    522498828      3502304  dgemm
192       13    522497776      3515844  dgemm
192       10    522497912      3523416  dgemm
192        8    522497684      3636792  dgemm
192        2    522713098      3622392  dgemm
192        3    522938798      3459040  dgemm
192        9    523225748      3620840  dgemm
192        7    523347694      3635584  dgemm
192        4    524138938      3468996  dgemm
192       12    524129812      3556944  dgemm
192       11    524110984      3685696  dgemm
192        1    524314766      3608768  dgemm
192        5    524763426      3633220  dgemm
192       15    524883312      3614996  dgemm
192        6    525425606      3471592  dgemm
192       10    526027416      3579272  dgemm
192       13    526019108      3651624  dgemm
192        8    526141852      3534748  dgemm
192        2    526344102      4080264  dgemm
192        3    526402630      4023044  dgemm
192        7    526993298      3436648  dgemm
192        9    526862200      3613448  dgemm
192        4    527615566      3581892  dgemm
192       11    527805744      3514940  dgemm
192       12    527699000      3632524  dgemm
192        1    527935818      3624480  dgemm
192        5    528410102      3456604  dgemm
192       15    528510020      3490664  dgemm
192       14    528614380      3662040  dgemm
192        6    528905470      3442084  dgemm
192       10    529618004      3614348  dgemm
192       13    529683124      3549300  dgemm
192        8    529685612      3548224  dgemm
192        7    530439578      3464104  dgemm
192        2    530437086      3622944  dgemm
192        3    530436734      3648208  dgemm
192        9    530486268      3838104  dgemm
192        4    531210642      3639320  dgemm
192       12    531338004      3570124  dgemm
192       11    531330748      3624800  dgemm
192        1    531568090      3621016  dgemm
192        5    531872686      3482816  dgemm
192       15    532012476      3610292  dgemm
192       14    532286096      3619736  dgemm
192        6    532355710      3612372  dgemm
192       13    533240508      3527104  dgemm
192       10    533238816      3609544  dgemm
192        2    534067210      3858200  dgemm
192        3    534091794      3833632  dgemm
192        7    533910390      4015208  dgemm
192        9    534413688      3603048  dgemm
192        4    534876958      3498888  dgemm
192       12    534927740      3503964  dgemm
192       11    534974024      3631140  dgemm
192        1    535200002      3446416  dgemm
192        5    535363566      3597180  dgemm
192        8    535495612      3493292  dgemm
192       15    535631468      3587600  dgemm
192       14    535919540      3649284  dgemm
192        6    535977086      3641936  dgemm
192       13    536781240      3523456  dgemm
192       10    536857904      3621584  dgemm
192        2    537934402      3630616  dgemm
192        7    537936226      3629000  dgemm
192        3    537935118      3630836  dgemm
192        9    538041004      3627652  dgemm
192        4    538401170      3515884  dgemm
192       12    538442860      3671108  dgemm
192        1    538653058      3510692  dgemm
192       11    538613860      3550012  dgemm
192        8    539000100      3526424  dgemm
192        5    538966522      3594228  dgemm
192       15    539232356      3582844  dgemm
192        6    539628822      3582076  dgemm
192       14    539580024      3643356  dgemm
192       13    540315548      3535976  dgemm
192       10    540487828      3615380  dgemm
192        3    541582742      3560448  dgemm
192        7    541575014      3619268  dgemm
192        2    541575278      3625896  dgemm
192       12    542135320      3684436  dgemm
192       11    542176288      3649244  dgemm
192        4    541926282      3961964  dgemm
192        1    542179910      3709500  dgemm
192        8    542541828      3643556  dgemm
192        5    542577678      3641760  dgemm
192       15    542829700      3547008  dgemm
192       13    543886180      3589104  dgemm
192       14    543251596      4232904  dgemm
192        9    543931348      3563156  dgemm
192        6    543240058      4277332  dgemm
192       10    544119580      3574716  dgemm
192        3    545163134      3530640  dgemm
192        7    545225534      3565180  dgemm
192        2    545219446      3634196  dgemm
192        4    545912274      3496564  dgemm
192        1    545912254      3600992  dgemm
192       11    545848580      3708696  dgemm
192       12    545848548      3708992  dgemm
192       15    546401660      3564892  dgemm
192        5    546251322      4110212  dgemm
192        8    546227724      4205524  dgemm
192       14    547505288      3578564  dgemm
192        6    547541418      3576880  dgemm
192        9    547505860      3643072  dgemm
192       13    547503620      3649916  dgemm
192       10    547707632      3539864  dgemm
192        3    548703166      3500292  dgemm
192        7    548799198      3604176  dgemm
192        2    548871046      3590400  dgemm
192        8    550444280      2268964  dgemm
192        5    550372290      2416524  dgemm
192        4    549417326      3443784  dgemm
192        1    549519294      3495004  dgemm
192       15    550895268      2223984  dgemm
192       12    549578412      3584708  dgemm
192       11    549573580      3619044  dgemm
192       14    551092220      2304580  dgemm
192        6    551124706      2297272  dgemm
192       13    551163852      2261320  dgemm
192        9    551158692      2332680  dgemm
192       10    551256880      2317008  dgemm
192        3    552218294      2283120  dgemm
192        7    552427490      2322816  dgemm
192        2    552483854      2310020  dgemm
192        4    552874650      2127768  dgemm
192        5    552803658      2198824  dgemm
192        8    552739144      2269704  dgemm
192        1    553039122      2147676  dgemm
192       15    553147520      2183448  dgemm
192       12    553178128      2184984  dgemm
192       11    553205172      2327156  dgemm
192        9    553511548      2212172  dgemm
192       10    553588620      2139440  dgemm
192       13    553440748      2301088  dgemm
192       14    553430232      2827836  dgemm
192        6    553438366      2856424  dgemm
192        3    554513238      2290852  dgemm
192        2    554801926      2118184  dgemm
192        7    554756174      2305704  dgemm
192        4    555011506      2146108  dgemm
192        1    555195182      2164436  dgemm
192       15    555339304      2322404  dgemm
192       11    555556204      2117080  dgemm
192       12    555370032      2329080  dgemm
192       13    555749844      2119220  dgemm
192        9    555735524      2154560  dgemm
192        5    555011462      2915004  dgemm
192        8    555023288      2919708  dgemm
192        1    562576822      2077364  dgemm
192        8    562774992      3322356  dgemm
192       13    562820408      3448032  dgemm
192       11    562717752      3868012  dgemm
192        4    562734282      3978736  dgemm
192        5    562948046      3923188  dgemm
192        2    563568614      3356568  dgemm
192       14    563622508      3355764  dgemm
192        7    563848810      3334260  dgemm
192        6    563878170      3320972  dgemm
192       15    563618824      3671272  dgemm
192       12    563953460      3555320  dgemm
192        9    563775084      3743568  dgemm
192       10    564955968      3393380  dgemm
192       11    566598276      2265836  dgemm
192        8    566104412      3336036  dgemm
192       13    566278628      3677268  dgemm
192       14    566987168      3348056  dgemm
192        3    566475258      3872664  dgemm
192        7    567190314      3350484  dgemm
192        6    567225190      3328304  dgemm
192        2    566935802      3625916  dgemm
192        4    566721894      3847312  dgemm
192       15    567300700      3369792  dgemm
192        5    566880934      3850776  dgemm
192        9    567525172      3372976  dgemm
192       12    567514548      3913004  dgemm
192        1    569564078      3337136  dgemm
192        8    569451092      3457836  dgemm
192       14    570346548      2706624  dgemm
192       13    569965624      3672940  dgemm
192        7    570553226      3350580  dgemm
192        6    570561334      3364928  dgemm
192       15    570688900      3446732  dgemm
192        2    570572458      3838732  dgemm
192        4    570580746      3847940  dgemm
192        9    570936124      3707748  dgemm
192       12    571443352      3314112  dgemm
192        5    570745382      4157404  dgemm
192       15    574145888      2046748  dgemm
192        8    572925284      4090000  dgemm
192       10    573197948      3986096  dgemm
192        6    573935186      3461804  dgemm
192        2    574422362      3325828  dgemm
192        7    573911342      3930368  dgemm
192       13    573661400      4229552  dgemm
192       11    573911728      4016908  dgemm
192       12    574763844      3348728  dgemm
192        9    574652224      3530284  dgemm
192        4    574440186      3765532  dgemm
192        5    574910594      3465964  dgemm
192        3    576041822      3660416  dgemm
192        4    578211102      2273888  dgemm
192        8    577026048      3501932  dgemm
192        6    577406170      3400668  dgemm
192        7    577851074      3330132  dgemm
192        2    577755206      3679552  dgemm
192       12    578121704      3459968  dgemm
192        9    578192168      3519472  dgemm
192       13    577901136      3844504  dgemm
192        5    578384582      3532008  dgemm
192        1    578743794      3526300  dgemm
192       14    578842844      3497240  dgemm
192        3    579714482      3783792  dgemm
192        2    581448890      2087864  dgemm
192        8    580536828      3462976  dgemm
192        6    580823366      3392076  dgemm
192       15    581073736      3406144  dgemm
192        7    581195034      3322292  dgemm
192       12    581598360      3565452  dgemm
192        9    581736080      3551740  dgemm
192       13    581762204      3647664  dgemm
192        5    581931458      3565244  dgemm
192        1    582287210      4301812  dgemm
192       11    582705704      3898600  dgemm
192       10    582304748      4421556  dgemm
192        3    583509986      3359680  dgemm
192        8    584020008      3439480  dgemm
192        6    584222634      3331368  dgemm
192       13    585422604      2197452  dgemm
192        7    584526782      3282872  dgemm
192        9    585298520      3575272  dgemm
192        5    585506286      3436352  dgemm
192       12    585172628      3891768  dgemm
192        4    585756702      3580048  dgemm
192        8    587469888      2081900  dgemm
