#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 248 10 64 690.240328 1513950722715442428 1513950724824743940 5.274192
#Experience summarry : avg : 690.240328 :: std : 5.274192 :: min : 682.117590 :: max : 701.343621 :: median : 690.336207

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 256 10 64 697.993556 1513950804313398335 1513950806436510022 5.167255
#Experience summarry : avg : 697.993556 :: std : 5.167255 :: min : 690.566371 :: max : 707.162619 :: median : 698.505747

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 264 10 64 711.640919 1513950885560525094 1513950887607003853 7.340173
#Experience summarry : avg : 711.640919 :: std : 7.340173 :: min : 698.932708 :: max : 721.371653 :: median : 714.836518

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 288 10 64 726.367101 1513950966219346310 1513950968222575482 5.655923
#Experience summarry : avg : 726.367101 :: std : 5.655923 :: min : 716.466731 :: max : 734.539544 :: median : 729.103846

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 304 10 64 733.638384 1513951046732913934 1513951048737324543 3.346201
#Experience summarry : avg : 733.638384 :: std : 3.346201 :: min : 728.622664 :: max : 739.261010 :: median : 733.294100

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 320 10 64 727.485966 1513951127422948717 1513951129397136728 11.059019
#Experience summarry : avg : 727.485966 :: std : 11.059019 :: min : 708.526225 :: max : 746.653845 :: median : 727.864776

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 352 10 64 697.033381 1513951208757619460 1513951210913611133 8.618869
#Experience summarry : avg : 697.033381 :: std : 8.618869 :: min : 680.034853 :: max : 713.638222 :: median : 698.098010

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 400 10 64 637.445432 1513951292228656558 1513951294525857674 7.431298
#Experience summarry : avg : 637.445432 :: std : 7.431298 :: min : 620.542828 :: max : 648.022578 :: median : 638.232862

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 448 10 64 639.369839 1513951375834852860 1513951378146490716 5.147616
#Experience summarry : avg : 639.369839 :: std : 5.147616 :: min : 633.919126 :: max : 647.814914 :: median : 639.710977

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 512 10 64 636.900448 1513951459288359273 1513951461609499953 14.433830
#Experience summarry : avg : 636.900448 :: std : 14.433830 :: min : 617.967091 :: max : 660.373399 :: median : 643.404787

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 64 10 128 2.424836 1513964241176122922 1513964316771153523 0.002877
#Experience summarry : avg : 2.424836 :: std : 0.002877 :: min : 2.418732 :: max : 2.428470 :: median : 2.425569

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 72 10 128 3.158813 1513964979874525670 1513965038014448678 0.003312
#Experience summarry : avg : 3.158813 :: std : 0.003312 :: min : 3.152489 :: max : 3.162900 :: median : 3.160572

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 88 10 128 6.072414 1513965410600337093 1513965440855175402 0.008272
#Experience summarry : avg : 6.072414 :: std : 0.008272 :: min : 6.058054 :: max : 6.085160 :: median : 6.077221

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 104 10 128 9.494688 1513965699732870079 1513965719035193857 0.018556
#Experience summarry : avg : 9.494688 :: std : 0.018556 :: min : 9.464415 :: max : 9.531261 :: median : 9.495511

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 112 10 128 12.415203 1513965929523751804 1513965944246045811 0.033300
#Experience summarry : avg : 12.415203 :: std : 0.033300 :: min : 12.354843 :: max : 12.464243 :: median : 12.422765

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 120 10 128 15.891128 1513966120306805215 1513966131887759513 0.042106
#Experience summarry : avg : 15.891128 :: std : 0.042106 :: min : 15.826449 :: max : 15.958203 :: median : 15.893611

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 136 10 128 21.561728 1513966276472051969 1513966284917741965 0.111429
#Experience summarry : avg : 21.561728 :: std : 0.111429 :: min : 21.418455 :: max : 21.721971 :: median : 21.515415

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 200 10 128 209.435980 1513966348530562542 1513966349321328897 21.094998
#Experience summarry : avg : 209.435980 :: std : 21.094998 :: min : 179.881923 :: max : 247.163412 :: median : 213.510932

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 208 10 128 277.725655 1513966410865393141 1513966411476868632 23.816866
#Experience summarry : avg : 277.725655 :: std : 23.816866 :: min : 226.555814 :: max : 313.205759 :: median : 285.454550

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 216 10 128 313.951319 1513966471927039938 1513966472471087196 34.369361
#Experience summarry : avg : 313.951319 :: std : 34.369361 :: min : 225.530791 :: max : 347.201934 :: median : 328.753303

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 232 10 128 377.636276 1513966531627303658 1513966532101651312 9.311095
#Experience summarry : avg : 377.636276 :: std : 9.311095 :: min : 351.696977 :: max : 386.550339 :: median : 379.355256

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 248 10 128 399.710171 1513966590575735989 1513966591053573654 7.884675
#Experience summarry : avg : 399.710171 :: std : 7.884675 :: min : 383.573187 :: max : 410.265060 :: median : 403.668239

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
