"Exp" "Blocksize" "Access" "total_cores" "kernel" "thread" "GFlops" "cycles" "cycles_ref" "Std" "Nxp"
"120" "dsyrk" 64 "local" 15 "dsyrk" 56 6.8667613 81078.52 3685.5 1.14792305936827 50
"121" "dsyrk" 64 "local" 16 "dsyrk" 0 6.78947956 81685.1 3713.4 1.1120792453245 50
"122" "dsyrk" 64 "local" 16 "dsyrk" 4 7.19504469387755 77509.6326530612 3522.85714285714 0.60883765352549 49
"123" "dsyrk" 64 "local" 16 "dsyrk" 8 7.39426 75679.7959183674 3440.59183673469 0.687100727040803 49
"124" "dsyrk" 64 "local" 16 "dsyrk" 12 6.8082902 81181.18 3690.12 1.13881091607044 50
"125" "dsyrk" 64 "local" 16 "dsyrk" 16 7.0605371 78720.4 3578.96 1.20495447547339 50
"126" "dsyrk" 64 "local" 16 "dsyrk" 20 7.080938 78455.4 3566.38 1.17543620594437 50
"127" "dsyrk" 64 "local" 16 "dsyrk" 24 7.12430536 77979.84 3545.38 1.18108552978499 50
"128" "dsyrk" 64 "local" 16 "dsyrk" 28 6.9089126 79946.54 3634.72 1.14514241801177 50
"129" "dsyrk" 64 "local" 16 "dsyrk" 32 7.09940502 77914.02 3542.56 1.16770580124274 50
"130" "dsyrk" 64 "local" 16 "dsyrk" 36 6.9710089 79617.32 3620.12 1.16156825300324 50
"131" "dsyrk" 64 "local" 16 "dsyrk" 40 7.11259218 78735.54 3579.2 1.12450387840788 50
"132" "dsyrk" 64 "local" 16 "dsyrk" 44 6.89433446 80762.6 3671.78 1.1562537665036 50
"133" "dsyrk" 64 "local" 16 "dsyrk" 48 7.19497192 77168.5 3507.48 1.18946940512413 50
"134" "dsyrk" 64 "local" 16 "dsyrk" 52 7.14080048 77911.3 3542.1 1.17208414028683 50
"135" "dsyrk" 64 "local" 16 "dsyrk" 56 7.1896326 77191.72 3510 1.20572237352198 50
"136" "dsyrk" 64 "local" 16 "dsyrk" 60 7.09675858 78233.76 3556.44 1.18674055002459 50
"137" "dsyrk" 64 "local" 17 "dsyrk" 0 6.77779262 82368.5 3744.18 1.16837497814523 50
"138" "dsyrk" 64 "local" 17 "dsyrk" 4 6.67920591836735 83307.693877551 3787.02040816327 0.549380569140973 49
"139" "dsyrk" 64 "local" 17 "dsyrk" 8 7.11947632653061 78985.3469387755 3590.63265306122 0.626758028208434 49
"140" "dsyrk" 64 "local" 17 "dsyrk" 12 7.07473884 78892.62 3586.2 1.12237226840165 50
"141" "dsyrk" 64 "local" 17 "dsyrk" 16 6.77489294 82330.92 3742.68 1.16062064746988 50
"142" "dsyrk" 64 "local" 17 "dsyrk" 20 6.80064106 81831.18 3719.72 1.12084905516339 50
"143" "dsyrk" 64 "local" 17 "dsyrk" 24 6.67097588 83059.36 3776.36 1.13222287459369 50
"144" "dsyrk" 64 "local" 17 "dsyrk" 28 6.80117094 82019.32 3729.04 1.19362416261077 50
"145" "dsyrk" 64 "local" 17 "dsyrk" 32 6.77399252 82600.42 3755.56 1.16389348050832 50
"146" "dsyrk" 64 "local" 17 "dsyrk" 36 7.02672846 79380.22 3608.76 1.14289239647922 50
"147" "dsyrk" 64 "local" 17 "dsyrk" 40 6.50419948 84784.46 3854.16 1.09391605797108 50
"148" "dsyrk" 64 "local" 17 "dsyrk" 44 6.77161786 82651.04 3757.32 1.13129975568848 50
"149" "dsyrk" 64 "local" 17 "dsyrk" 48 6.7415562 83230.52 3783.48 1.14619375812773 50
"150" "dsyrk" 64 "local" 17 "dsyrk" 52 6.74039126 82679.3 3759.02 1.10207392490101 50
"151" "dsyrk" 64 "local" 17 "dsyrk" 56 6.84068974 81678.86 3713.12 1.14368567304959 50
"152" "dsyrk" 64 "local" 17 "dsyrk" 60 6.76604688 82595.5 3754.78 1.16686995408709 50
"153" "dsyrk" 64 "local" 17 "dsyrk" 64 6.63875192 83573.68 3799.04 1.1360902537853 50
"154" "dsyrk" 64 "local" 18 "dsyrk" 0 7.07733436 78971.04 3589.64 1.10913532315773 50
"155" "dsyrk" 64 "local" 18 "dsyrk" 4 7.03656224489796 79620.0408163265 3619.28571428571 0.572834759272054 49
"156" "dsyrk" 64 "local" 18 "dsyrk" 8 7.2372506122449 77652.7959183674 3530.75510204082 0.481195219572265 49
"157" "dsyrk" 64 "local" 18 "dsyrk" 12 7.1084759 78442.74 3566.62 1.14032636647911 50
"158" "dsyrk" 64 "local" 18 "dsyrk" 16 7.2423235 77122.76 3505.88 1.13255128511722 50
"159" "dsyrk" 64 "local" 18 "dsyrk" 20 7.26086722 77202.14 3509.62 1.10609453711544 50
"160" "dsyrk" 64 "local" 18 "dsyrk" 24 7.0966752 78654.24 3575.64 1.14255941189023 50
"161" "dsyrk" 64 "local" 18 "dsyrk" 28 6.98608434 79453.64 3611.74 1.12080025517801 50
"162" "dsyrk" 64 "local" 18 "dsyrk" 32 7.08073908 78826.38 3583.58 1.10245275016298 50
"163" "dsyrk" 64 "local" 18 "dsyrk" 36 7.0161777 79211.2 3600.5 1.14601709686877 50
"164" "dsyrk" 64 "local" 18 "dsyrk" 40 7.06475278 78903.48 3586.46 1.12034071551866 50
"165" "dsyrk" 64 "local" 18 "dsyrk" 44 7.1763999 77587.8 3526.8 1.10073420637879 50
"166" "dsyrk" 64 "local" 18 "dsyrk" 48 7.01652152 79490.14 3613.68 1.11758586019261 50
"167" "dsyrk" 64 "local" 18 "dsyrk" 52 7.23148994 77240.4 3510.94 1.10297724795626 50
"168" "dsyrk" 64 "local" 18 "dsyrk" 56 7.12025226 78326.74 3560.4 1.10853774835963 50
"169" "dsyrk" 64 "local" 18 "dsyrk" 60 7.09702888 78642.5 3574.88 1.1185799799231 50
"170" "dsyrk" 64 "local" 18 "dsyrk" 64 7.16011762 77875.08 3540.2 1.10744319405113 50
"171" "dsyrk" 64 "local" 18 "dsyrk" 68 7.08454468 78625.74 3574.28 1.09644672952801 50
"172" "dsyrk" 64 "local" 19 "dsyrk" 0 6.76032312 82075.48 3731.32 1.09557000917302 50
"173" "dsyrk" 64 "local" 19 "dsyrk" 4 7.17091979591837 78069.9591836735 3548.89795918367 0.629284926386324 49
"174" "dsyrk" 64 "local" 19 "dsyrk" 8 7.00923816326531 79712.9183673469 3623.44897959184 0.645694672112503 49
"175" "dsyrk" 64 "local" 19 "dsyrk" 12 6.84710776 80683.76 3668.28 1.05159731184491 50
"176" "dsyrk" 64 "local" 19 "dsyrk" 16 6.98718692 79657.54 3620.66 1.09930105815971 50
"177" "dsyrk" 64 "local" 19 "dsyrk" 20 6.89263868 80356.44 3652.82 1.06584757183852 50
"178" "dsyrk" 64 "local" 19 "dsyrk" 24 6.87634298 80127.08 3642.36 1.40492827127672 50
"179" "dsyrk" 64 "local" 19 "dsyrk" 28 6.75689742 82038.24 3730.12 1.13237967120562 50
"180" "dsyrk" 64 "local" 19 "dsyrk" 32 7.01542304 79381.26 3608.82 1.14315326281587 50
"181" "dsyrk" 64 "local" 19 "dsyrk" 36 6.91121372 80212.08 3646.18 1.15385582552061 50
"182" "dsyrk" 64 "local" 19 "dsyrk" 40 6.826006 81547.66 3707.08 1.09133778611578 50
"183" "dsyrk" 64 "local" 19 "dsyrk" 44 7.0578292 79220.54 3601.66 1.13817627733005 50
"184" "dsyrk" 64 "local" 19 "dsyrk" 48 6.75909126 82330.34 3743.92 1.07097099827279 50
"185" "dsyrk" 64 "local" 19 "dsyrk" 52 7.00629772 79343 3606.68 1.10680886131934 50
"186" "dsyrk" 64 "local" 19 "dsyrk" 56 7.17935272 77704.8 3532.42 1.18399318059025 50
"187" "dsyrk" 64 "local" 19 "dsyrk" 60 6.83104972 81234.4 3692.66 1.08596619604314 50
"188" "dsyrk" 64 "local" 19 "dsyrk" 64 6.73793294 81920.4 3723.86 1.13184415824936 50
"189" "dsyrk" 64 "local" 19 "dsyrk" 68 6.9659206 78966.48 3590.1 1.42836975309361 50
"190" "dsyrk" 64 "local" 19 "dsyrk" 72 7.09270674 78400.36 3564.02 1.12561133400874 50
"191" "dsyrk" 64 "local" 20 "dsyrk" 0 6.5927692 84715.08 3851.38 1.1227656498327 50
"192" "dsyrk" 64 "local" 20 "dsyrk" 4 6.96969020408163 80281.7346938775 3649.38775510204 0.783365327227368 49
"193" "dsyrk" 64 "local" 20 "dsyrk" 8 6.93703081632653 80919 3678.5306122449 0.570520924915105 49
"194" "dsyrk" 64 "local" 20 "dsyrk" 12 6.59937546 84535.94 3844.04 1.04862192539424 50
"195" "dsyrk" 64 "local" 20 "dsyrk" 16 6.9105064 80947 3680.32 1.10945917685565 50
"196" "dsyrk" 64 "local" 20 "dsyrk" 20 6.88433562 81072.8 3685.7 1.08400265728251 50
"197" "dsyrk" 64 "local" 20 "dsyrk" 24 6.85201048 81439.26 3702.24 1.14111510883786 50
"198" "dsyrk" 64 "local" 20 "dsyrk" 28 6.52251104 83857.72 3811.74 1.33984208329442 50
"199" "dsyrk" 64 "local" 20 "dsyrk" 32 6.6236786 84124.04 3826.3 1.08228962843803 50
"200" "dsyrk" 64 "local" 20 "dsyrk" 36 6.64479126 83894.92 3813.9 1.11955587120919 50
"201" "dsyrk" 64 "local" 20 "dsyrk" 40 6.87276666 81233.34 3693.52 1.17129650128421 50
"202" "dsyrk" 64 "local" 20 "dsyrk" 44 6.86400234 81290.9 3695.34 1.08823295637146 50
"203" "dsyrk" 64 "local" 20 "dsyrk" 48 6.46841606 85925.78 3906.58 1.00381009974561 50
"204" "dsyrk" 64 "local" 20 "dsyrk" 52 6.49437302 84020.32 3819.38 1.29077452653954 50
"205" "dsyrk" 64 "local" 20 "dsyrk" 56 6.5533259 84505.34 3841.64 1.07352039028271 50
"206" "dsyrk" 64 "local" 20 "dsyrk" 60 6.47450364 85909.38 3906.52 1.07820525656922 50
"207" "dsyrk" 64 "local" 20 "dsyrk" 64 6.53131822 84857.34 3857.24 1.0907303938807 50
"208" "dsyrk" 64 "local" 20 "dsyrk" 68 6.64704354 83595.64 3800 1.08262149076346 50
"209" "dsyrk" 64 "local" 20 "dsyrk" 72 6.96680452 80019.62 3638.32 1.12891123833482 50
"210" "dsyrk" 64 "local" 20 "dsyrk" 76 6.71650504 81555.66 3707.16 1.34933575427307 50
"211" "dsyrk" 64 "local" 21 "dsyrk" 0 6.82652434 81317.48 3696.28 1.19002114982103 50
"212" "dsyrk" 64 "local" 21 "dsyrk" 4 6.73287163265306 82491.5714285714 3750.02040816327 0.681186572647767 49
"213" "dsyrk" 64 "local" 21 "dsyrk" 8 6.88258979591837 81268.1020408163 3694.89795918367 0.797482437441127 49
"214" "dsyrk" 64 "local" 21 "dsyrk" 12 6.73834342 81892.42 3722.72 1.10396579387074 50
"215" "dsyrk" 64 "local" 21 "dsyrk" 16 6.73150596 81810.34 3719.36 1.13272680875469 50
"216" "dsyrk" 64 "local" 21 "dsyrk" 20 6.78417908 81673.84 3712.64 1.17547317943859 50
"217" "dsyrk" 64 "local" 21 "dsyrk" 24 6.79420756 82093.64 3732.68 1.20036089880236 50
"218" "dsyrk" 64 "local" 21 "dsyrk" 28 6.69245576 82089.66 3731.42 1.17869989679329 50
"219" "dsyrk" 64 "local" 21 "dsyrk" 32 6.61601202 83175.1 3781.58 1.12331094682091 50
"220" "dsyrk" 64 "local" 21 "dsyrk" 36 6.97052816 79527.12 3615.22 1.20396617021066 50
"221" "dsyrk" 64 "local" 21 "dsyrk" 40 6.79280364 81376.88 3699.24 1.2270129603705 50
"222" "dsyrk" 64 "local" 21 "dsyrk" 44 6.8116185 80713.64 3669.78 1.43596093836442 50
"223" "dsyrk" 64 "local" 21 "dsyrk" 48 6.96997176 79459.26 3612 1.20632210978177 50
"224" "dsyrk" 64 "local" 21 "dsyrk" 52 6.84938006 80838.08 3674.72 1.17096197041899 50
"225" "dsyrk" 64 "local" 21 "dsyrk" 56 6.8718428 80680.94 3667.4 1.18513463987205 50
"226" "dsyrk" 64 "local" 21 "dsyrk" 60 6.5678686 83668.32 3803.72 1.13343755850989 50
"227" "dsyrk" 64 "local" 21 "dsyrk" 64 6.59807694 83447.56 3793.62 1.12428491994745 50
"228" "dsyrk" 64 "local" 21 "dsyrk" 68 6.73808308 81864.42 3721.04 1.16844097775784 50
"229" "dsyrk" 64 "local" 21 "dsyrk" 72 6.8953201 79998.56 3636.44 1.16590913586014 50
"230" "dsyrk" 64 "local" 21 "dsyrk" 76 7.01913668 78966.54 3590.02 1.22878010394252 50
"231" "dsyrk" 64 "local" 21 "dsyrk" 80 6.85109116 81155.54 3689.52 1.18097185139429 50
"232" "dsyrk" 64 "local" 22 "dsyrk" 0 6.63876104 81952.54 3725.26 1.37455860536389 50
"233" "dsyrk" 64 "local" 22 "dsyrk" 4 6.88548102040816 81184.1020408163 3691.0612244898 0.714978837001036 49
"234" "dsyrk" 64 "local" 22 "dsyrk" 8 6.73819040816327 83472.0408163265 3794.38775510204 0.832033418729779 49
"235" "dsyrk" 64 "local" 22 "dsyrk" 12 6.5563 84259.4 3830.22 1.09764735615659 50
"236" "dsyrk" 64 "local" 22 "dsyrk" 16 6.3035219 87518.64 3978.62 1.06126313281117 50
"237" "dsyrk" 64 "local" 22 "dsyrk" 20 6.65790748 83211.86 3782.6 1.1186315937532 50
"238" "dsyrk" 64 "local" 22 "dsyrk" 24 6.7652389 82350.16 3743.78 1.12088353774195 50
"239" "dsyrk" 64 "local" 22 "dsyrk" 28 6.55496756 84607 3846.02 1.15621706535445 50
"240" "dsyrk" 64 "local" 22 "dsyrk" 32 6.7853781 81414.1 3700.76 1.25153588639136 50
"241" "dsyrk" 64 "local" 22 "dsyrk" 36 6.71695712 81444.92 3702.08 1.42295619249817 50
"242" "dsyrk" 64 "local" 22 "dsyrk" 40 6.87212968 80652.86 3666.14 1.14786296657009 50
"243" "dsyrk" 64 "local" 22 "dsyrk" 44 6.63814918 83508.68 3796.18 1.10554783316142 50
"244" "dsyrk" 64 "local" 22 "dsyrk" 48 6.74697996 80212.6 3646.5 1.38337289134375 50
"245" "dsyrk" 64 "local" 22 "dsyrk" 52 6.66641602 83172.84 3782.16 1.10368315082143 50
