"Exp" "Blocksize" "Access" "total_cores" "kernel" "thread" "GFlops" "cycles" "cycles_ref" "Std" "Nxp"
"74" "dpotrf" 64 "local" 12 "dpotrf" 28 3.08778392 48323.04 2196.48 0.477537225763128 50
"75" "dpotrf" 64 "local" 12 "dpotrf" 32 3.0960927 48538.36 2208.02 0.476129878770885 50
"76" "dpotrf" 64 "local" 12 "dpotrf" 36 3.1008903 48075.86 2186.64 0.481062731055548 50
"77" "dpotrf" 64 "local" 12 "dpotrf" 40 3.10574424 48226.08 2191.86 0.478996869233625 50
"78" "dpotrf" 64 "local" 12 "dpotrf" 44 3.10712144 48263.64 2193.82 0.480131093732728 50
"79" "dpotrf" 64 "local" 13 "dpotrf" 0 3.08157466 49150.38 2234.38 0.450888967015597 50
"80" "dpotrf" 64 "local" 13 "dpotrf" 4 3.15432387755102 47429.5102040816 2155.59183673469 0.15956923989312 49
"81" "dpotrf" 64 "local" 13 "dpotrf" 8 3.17601469387755 47406.8367346939 2154.9387755102 0.11745340335111 49
"82" "dpotrf" 64 "local" 13 "dpotrf" 12 3.10761252 48533.96 2205.94 0.450059006209378 50
"83" "dpotrf" 64 "local" 13 "dpotrf" 16 3.08139532 48856.44 2220.7 0.448397966529025 50
"84" "dpotrf" 64 "local" 13 "dpotrf" 20 3.10371918 48382.06 2199.86 0.453512046145782 50
"85" "dpotrf" 64 "local" 13 "dpotrf" 24 3.15102278 48185.4 2190.32 0.450359177458972 50
"86" "dpotrf" 64 "local" 13 "dpotrf" 28 3.09116192 49375.8 2244.26 0.452683301825533 50
"87" "dpotrf" 64 "local" 13 "dpotrf" 32 3.12870928 48449.14 2201.74 0.443784820158444 50
"88" "dpotrf" 64 "local" 13 "dpotrf" 36 3.08828702 48674.86 2212.3 0.445754926452957 50
"89" "dpotrf" 64 "local" 13 "dpotrf" 40 3.08718144 48717.44 2214.74 0.445473368061719 50
"90" "dpotrf" 64 "local" 13 "dpotrf" 44 3.11792256 47965.02 2180.12 0.445894543959194 50
"91" "dpotrf" 64 "local" 13 "dpotrf" 48 3.08589818 48723.08 2214.6 0.450134077367236 50
"92" "dpotrf" 64 "local" 14 "dpotrf" 0 3.15876296 47589.72 2163.56 0.447702769743086 50
"93" "dpotrf" 64 "local" 14 "dpotrf" 4 3.16472040816327 47395.4693877551 2154.32653061224 0.115172653238504 49
"94" "dpotrf" 64 "local" 14 "dpotrf" 8 3.20130734693878 46732.2244897959 2124.04081632653 0.0919021894184135 49
"95" "dpotrf" 64 "local" 14 "dpotrf" 12 3.09283054 48679.92 2212.98 0.450904979737562 50
"96" "dpotrf" 64 "local" 14 "dpotrf" 16 3.08442494 48699.88 2213.74 0.445479928706769 50
"97" "dpotrf" 64 "local" 14 "dpotrf" 20 3.12363268 48067.46 2184.86 0.441805737376408 50
"98" "dpotrf" 64 "local" 14 "dpotrf" 24 3.09635386 49182.8 2235.52 0.443245523320143 50
"99" "dpotrf" 64 "local" 14 "dpotrf" 28 3.10083678 48293.56 2195.38 0.439574540157114 50
"100" "dpotrf" 64 "local" 14 "dpotrf" 32 3.1173407 48594.94 2208.88 0.439752716743949 50
"101" "dpotrf" 64 "local" 14 "dpotrf" 36 3.14485944 47980 2181.06 0.445614778162601 50
"102" "dpotrf" 64 "local" 14 "dpotrf" 40 3.09669688 48777.72 2217.58 0.443499490495285 50
"103" "dpotrf" 64 "local" 14 "dpotrf" 44 3.09914192 48313.36 2196.24 0.447799541605249 50
"104" "dpotrf" 64 "local" 14 "dpotrf" 48 3.09797838 48555.98 2207.2 0.446653704144858 50
"105" "dpotrf" 64 "local" 14 "dpotrf" 52 3.10352074 48675.22 2212.28 0.44976858283402 50
"106" "dpotrf" 64 "local" 15 "dpotrf" 0 3.01717486 50039.96 2274.18 0.449391677183043 50
"107" "dpotrf" 64 "local" 15 "dpotrf" 4 3.06988 48669.1428571429 2211.83673469388 0.184296906014905 49
"108" "dpotrf" 64 "local" 15 "dpotrf" 8 3.06456142857143 48867.0816326531 2220.73469387755 0.182202284826051 49
"109" "dpotrf" 64 "local" 15 "dpotrf" 12 3.06082656 49191.58 2235.66 0.453693454671861 50
"110" "dpotrf" 64 "local" 15 "dpotrf" 16 3.00571864 50266 2284.76 0.443939635148457 50
"111" "dpotrf" 64 "local" 15 "dpotrf" 20 2.98649504 50586.28 2298.98 0.459468562092007 50
"112" "dpotrf" 64 "local" 15 "dpotrf" 24 2.9591388 50417.6 2291.4 0.457640464118429 50
"113" "dpotrf" 64 "local" 15 "dpotrf" 28 3.00320138 50070.1 2276.02 0.452589536662575 50
"114" "dpotrf" 64 "local" 15 "dpotrf" 32 3.03264266 49371.52 2243.86 0.447871914033357 50
"115" "dpotrf" 64 "local" 15 "dpotrf" 36 3.04022786 50039.92 2274.58 0.4506192891643 50
"116" "dpotrf" 64 "local" 15 "dpotrf" 40 3.0014103 50000.8 2272.74 0.456073020161011 50
"117" "dpotrf" 64 "local" 15 "dpotrf" 44 3.02411444 49690.44 2258.72 0.452883987297606 50
"118" "dpotrf" 64 "local" 15 "dpotrf" 48 3.02516916 49969.3 2270.9 0.456229533761347 50
"119" "dpotrf" 64 "local" 15 "dpotrf" 52 3.04671544 49363.66 2243.46 0.445457557928472 50
"120" "dpotrf" 64 "local" 15 "dpotrf" 56 3.0305279 49711.22 2259.48 0.43693662899468 50
"121" "dpotrf" 64 "local" 16 "dpotrf" 0 3.08132686 48667.54 2212.78 0.444338640170871 50
"122" "dpotrf" 64 "local" 16 "dpotrf" 4 3.17060040816327 47056.1020408163 2138.91836734694 0.081738594667166 49
"123" "dpotrf" 64 "local" 16 "dpotrf" 8 3.14993857142857 47496.1020408163 2158.73469387755 0.142802147232339 49
"124" "dpotrf" 64 "local" 16 "dpotrf" 12 3.09864208 48226.48 2191.92 0.446875315848033 50
"125" "dpotrf" 64 "local" 16 "dpotrf" 16 3.08950142 48220.66 2191.82 0.450438595804818 50
"126" "dpotrf" 64 "local" 16 "dpotrf" 20 3.10666016 48242.72 2192.94 0.448827305329615 50
