Exp total_cores kernel thread size time-ms
bandwidth_200000000_0_7 7 copy 0  200000000 116.865
bandwidth_200000000_0_7 7 copy 0  200000000 116.237
bandwidth_200000000_0_7 7 copy 0  200000000 115.937
bandwidth_200000000_0_7 7 copy 0  200000000 116.623
bandwidth_200000000_0_7 7 copy 0  200000000 116.786
bandwidth_200000000_0_7 7 copy 0  200000000 116.281
bandwidth_200000000_0_7 7 copy 0  200000000 116.796
bandwidth_200000000_0_7 7 copy 0  200000000 116.53
bandwidth_200000000_0_7 7 copy 0  200000000 106.663
bandwidth_200000000_0_7 7 copy 1  200000000 115.758
bandwidth_200000000_0_7 7 copy 1  200000000 115.337
bandwidth_200000000_0_7 7 copy 1  200000000 114.701
bandwidth_200000000_0_7 7 copy 1  200000000 114.671
bandwidth_200000000_0_7 7 copy 1  200000000 115.172
bandwidth_200000000_0_7 7 copy 1  200000000 115.757
bandwidth_200000000_0_7 7 copy 1  200000000 115.737
bandwidth_200000000_0_7 7 copy 1  200000000 114.749
bandwidth_200000000_0_7 7 copy 1  200000000 115.446
bandwidth_200000000_0_7 7 copy 1  200000000 111.732
bandwidth_200000000_0_7 7 copy 2  200000000 114.926
bandwidth_200000000_0_7 7 copy 2  200000000 114.086
bandwidth_200000000_0_7 7 copy 2  200000000 115.061
bandwidth_200000000_0_7 7 copy 2  200000000 114.609
bandwidth_200000000_0_7 7 copy 2  200000000 114.677
bandwidth_200000000_0_7 7 copy 2  200000000 114.074
bandwidth_200000000_0_7 7 copy 2  200000000 114.576
bandwidth_200000000_0_7 7 copy 2  200000000 113.473
bandwidth_200000000_0_7 7 copy 2  200000000 113.498
bandwidth_200000000_0_7 7 copy 2  200000000 114.287
bandwidth_200000000_0_7 7 copy 3  200000000 115.588
bandwidth_200000000_0_7 7 copy 3  200000000 115.141
bandwidth_200000000_0_7 7 copy 3  200000000 114.73
bandwidth_200000000_0_7 7 copy 3  200000000 114.888
bandwidth_200000000_0_7 7 copy 3  200000000 114.39
bandwidth_200000000_0_7 7 copy 3  200000000 114.525
bandwidth_200000000_0_7 7 copy 3  200000000 114.514
bandwidth_200000000_0_7 7 copy 3  200000000 114.156
bandwidth_200000000_0_7 7 copy 3  200000000 115.1
bandwidth_200000000_0_7 7 copy 3  200000000 113.173
bandwidth_200000000_0_7 7 copy 4  200000000 115.139
bandwidth_200000000_0_7 7 copy 4  200000000 114.897
bandwidth_200000000_0_7 7 copy 4  200000000 114.478
bandwidth_200000000_0_7 7 copy 4  200000000 115.015
bandwidth_200000000_0_7 7 copy 4  200000000 114.777
bandwidth_200000000_0_7 7 copy 4  200000000 114.125
bandwidth_200000000_0_7 7 copy 4  200000000 114.857
bandwidth_200000000_0_7 7 copy 4  200000000 114.827
bandwidth_200000000_0_7 7 copy 4  200000000 115.244
bandwidth_200000000_0_7 7 copy 4  200000000 112.786
bandwidth_200000000_0_7 7 copy 5  200000000 114.926
bandwidth_200000000_0_7 7 copy 5  200000000 114.086
bandwidth_200000000_0_7 7 copy 5  200000000 114.311
