Exp blocksize distrib total_cores thread gflops time
dgemm 224 random 16 0  16.5948 1.35537
dgemm 224 random 16 0  16.4481 1.36743
dgemm 224 random 16 0  16.5936 1.35545
dgemm 224 random 16 0  16.5944 1.35539
dgemm 224 random 16 0  16.4756 1.36515
dgemm 224 random 16 0  16.6131 1.35386
dgemm 224 random 16 0  16.602 1.35479
dgemm 224 random 16 0  16.4586 1.36657
dgemm 224 random 16 0  16.6025 1.35472
dgemm 224 random 16 0  16.4582 1.36659
dgemm 224 random 16 0  16.6043 1.35459
dgemm 224 random 16 0  16.5929 1.35551
dgemm 224 random 16 0  16.458 1.3668
dgemm 224 random 16 0  16.6053 1.35451
dgemm 224 random 16 0  16.6106 1.35407
dgemm 224 random 16 0  16.4463 1.36758
dgemm 224 random 16 0  16.557 1.35845
dgemm 224 random 16 0  16.5678 1.35755
dgemm 224 random 16 0  16.4185 1.36991
dgemm 224 random 16 0  16.5647 1.35781
dgemm 224 random 16 0  16.5541 1.35871
dgemm 224 random 16 0  16.2912 1.3806
dgemm 224 random 16 0  16.5717 1.35724
dgemm 224 random 16 0  16.4626 1.36627
dgemm 224 random 16 0  16.2457 1.38445
dgemm 224 random 16 0  16.5714 1.35727
dgemm 224 random 16 0  16.5708 1.3573
dgemm 224 random 16 0  16.4312 1.36884
dgemm 224 random 16 0  16.5685 1.35751
dgemm 224 random 16 0  16.5803 1.35655
dgemm 224 random 16 0  16.4518 1.36712
dgemm 224 random 16 0  16.5733 1.35708
dgemm 224 random 16 0  16.548 1.3592
dgemm 224 random 16 0  16.4059 1.37096
dgemm 224 random 16 0  16.5608 1.35814
dgemm 224 random 16 0  16.4294 1.36898
dgemm 224 random 16 0  13.8526 1.62207
dgemm 224 random 16 0  16.3745 1.37351
dgemm 224 random 16 0  16.4491 1.3673
dgemm 224 random 16 0  16.3007 1.37973
dgemm 224 random 16 0  16.4435 1.36776
dgemm 224 random 16 0  16.4508 1.36716
dgemm 224 random 16 0  16.3109 1.3789
dgemm 224 random 16 0  16.4387 1.36817
dgemm 224 random 16 0  16.4756 1.3651
dgemm 224 random 16 0  16.3162 1.37845
dgemm 224 random 16 0  16.4682 1.36572
dgemm 224 random 16 0  16.4142 1.3702
dgemm 224 random 16 0  16.3095 1.37901
dgemm 224 random 16 0  16.4431 1.3678
dgemm 224 random 16 0  16.4404 1.36805
dgemm 224 random 16 0  11.8829 1.89252
dgemm 224 random 16 0  16.4367 1.36877
dgemm 224 random 16 0  16.4292 1.36901
dgemm 224 random 16 0  16.3298 1.37739
dgemm 224 random 16 0  16.495 1.36356
