Progname Runtime Size Blocksize Iterations Threads Gflops startTime endTime Stddev
dpotrf_taskdep simulation_min 8192 256 1 19 322.239 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 20 337.566 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 21 352.102 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 22 369.207 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 23 386.091 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 24 399.73 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 25 419.308 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 26 434.005 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 27 445.352 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 28 461.684 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 29 470.417 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 30 480.356 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 31 505.825 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 32 517.297 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 33 533.854 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 34 544.788 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 35 557.149 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 36 575.835 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 37 587.336 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 38 597.46 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 39 611.926 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 40 626.79 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 41 640.67 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 42 652.638 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 43 661.95 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 44 680.263 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 45 679.749 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 46 702.471 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 47 710.788 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 48 724.061 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 49 748.309 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 50 753.934 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 51 732.063 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 52 772.138 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 53 780.183 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 54 784.939 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 55 801.348 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 56 829.352 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 57 838.108 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 58 827.227 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 59 853.52 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 60 857.095 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 61 871.578 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 62 881.538 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 63 897.874 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 64 893.017 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 65 891.091 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 66 929.151 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 67 941.332 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 68 942.319 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 69 951.079 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 70 949.815 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 71 969.808 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 72 971.353 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 73 984.708 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 74 992.658 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 75 1002.04 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 76 1018.84 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 77 1014.01 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 78 1039 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 79 1037.69 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 80 1035.61 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 81 1025.23 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 82 1047.8 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 83 1068.36 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 84 1080.84 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 85 1086.56 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 86 1110.96 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 87 1117.43 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 88 1115.44 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 89 1120.95 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 90 1139.4 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 91 1123.88 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 92 1131.07 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 93 1130.82 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 94 1154.27 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 95 1159.22 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 96 1183.47 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 1 20.4638 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 2 40.8538 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 3 61.1996 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 4 81.3582 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 5 101.4 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 6 121.462 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 7 141.12 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 8 160.577 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 9 181.13 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 10 198.976 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 11 219.062 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 12 237.793 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 13 257.62 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 14 275.861 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 15 295.557 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 16 313.498 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 17 332.047 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 18 350.911 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 19 365.223 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 20 386.823 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 21 401.784 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 22 422.536 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 23 441.897 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 24 459.704 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 25 476.372 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 26 490.403 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 27 502.507 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 28 519.747 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 29 539.426 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 30 556.533 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 31 571.222 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 32 587.894 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 33 611.168 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 34 621.351 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 35 641.023 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 36 656.672 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 37 670.981 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 38 686.409 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 39 705.458 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 40 724.111 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 41 732.036 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 42 745.162 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 43 757.891 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 44 777.445 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 45 799.91 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 46 802.4 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 47 818.63 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 48 838.367 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 49 840.552 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 50 858.003 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 51 848.517 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 52 881.213 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 53 904.103 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 54 901.238 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 55 918.53 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 56 915.801 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 57 948.174 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 58 966.367 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 59 953.54 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 60 987.474 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 61 989.505 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 62 998.431 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 63 1028.8 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 64 1020.47 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 65 1024.65 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 66 1048.08 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 67 1082.29 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 68 1085.9 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 69 1086 0 0 0
dpotrf_taskdep simulation_max 8192 256 1 70 1101.29 0 0 0
