#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 8192 256 128 5 8 120.400737 1516939294182114432 1516939300266101871 0.060291
#Experience summarry : avg : 120.400737 :: std : 0.060291 :: min : 120.322963 :: max : 120.503527 :: median : 120.401037

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 16384 256 128 5 8 124.322706 1516939564377547149 1516939611565382328 0.036036
#Experience summarry : avg : 124.322706 :: std : 0.036036 :: min : 124.282010 :: max : 124.373714 :: median : 124.306037

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 32768 512 128 5 8 146.498401 1516941249514829302 1516941569790394967 0.010744
#Experience summarry : avg : 146.498401 :: std : 0.010744 :: min : 146.482120 :: max : 146.511880 :: median : 146.499548

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 8192 256 128 5 12 177.709829 1516946302018997093 1516946306144923702 0.169386
#Experience summarry : avg : 177.709829 :: std : 0.169386 :: min : 177.399135 :: max : 177.872057 :: median : 177.736871

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 16384 256 128 5 12 185.344582 1516946492060532907 1516946523740723033 0.361347
#Experience summarry : avg : 185.344582 :: std : 0.361347 :: min : 185.118807 :: max : 186.065561 :: median : 185.180924

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 32768 512 128 5 12 218.865519 1516947629823145109 1516947844194541929 0.015473
#Experience summarry : avg : 218.865519 :: std : 0.015473 :: min : 218.847497 :: max : 218.882898 :: median : 218.866904

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 8192 256 128 5 16 233.839499 1516951077935879280 1516951081074105022 0.158271
#Experience summarry : avg : 233.839499 :: std : 0.158271 :: min : 233.616699 :: max : 234.049407 :: median : 233.797518

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 16384 256 128 5 16 245.831394 1516951228022983197 1516951251883462345 0.036067
#Experience summarry : avg : 245.831394 :: std : 0.036067 :: min : 245.787142 :: max : 245.881246 :: median : 245.829043

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 32768 512 128 5 16 291.111285 1516952092402720857 1516952253565128607 0.023203
#Experience summarry : avg : 291.111285 :: std : 0.023203 :: min : 291.095153 :: max : 291.156997 :: median : 291.101653

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 49152 512 256 5 96 1473.961674 1517148917856020227 1517149025211552458 0.865497
#Experience summarry : avg : 1473.961674 :: std : 0.865497 :: min : 1472.406468 :: max : 1474.861167 :: median : 1474.190885

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 65536 512 256 5 96 1484.335525 1517150345114998142 1517150597930418368 1.978306
#Experience summarry : avg : 1484.335525 :: std : 1.978306 :: min : 1481.627504 :: max : 1487.206731 :: median : 1484.516085

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 65536 512 512 5 96 1332.666404 1517152064734043356 1517152346552987359 1.096176
#Experience summarry : avg : 1332.666404 :: std : 1.096176 :: min : 1331.736447 :: max : 1334.800009 :: median : 1332.324503

