#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 8192 256 128 5 16 230.966332 1516952295813687997 1516952298991958273 0.186286
#Experience summarry : avg : 230.966332 :: std : 0.186286 :: min : 230.673217 :: max : 231.172911 :: median : 231.073806

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 16384 256 128 5 16 242.753811 1516952447514948789 1516952471672269034 0.037039
#Experience summarry : avg : 242.753811 :: std : 0.037039 :: min : 242.710378 :: max : 242.814989 :: median : 242.755416

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 32768 512 128 5 16 289.190472 1516953316805101626 1516953479022141857 0.022426
#Experience summarry : avg : 289.190472 :: std : 0.022426 :: min : 289.151027 :: max : 289.209977 :: median : 289.201868

